Twinning town/ city name,UK town/ city name,EUR town/ city name,EUR Country,EUR UA Code ,UK UA Code ,EUR_TT1060I,UK_TT1060I,EUR_SA2007I,UK_SA2007I,EUR_DE1059I,UK_DE1059I,EUR_DE1061I,UK_DE1061I,EUR_DE1057I,UK_DE1057I,EUR_DE1055I,UK_DE1055I,EUR_DE1073I,UK_DE1073I,EUR_DE1058I,UK_DE1058I,EUR_DE2001I,UK_DE2001I,EUR_TT1057V,UK_TT1057V,EUR_EC2009I,UK_EC2009I,EUR_TE2028I,UK_TE2028I,EUR_DE1064I,UK_DE1064I,EUR_DE1025I,UK_DE1025I,EUR_DE1085I,UK_DE1085I,EUR_EC2022I,UK_EC2022I,EUR_TT1057I,UK_TT1057I,EUR_DE1060I,UK_DE1060I,EUR_DE1003I,UK_DE1003I,EUR_TT1060V,UK_TT1060V,EUR_EC1174V,UK_EC1174V,EUR_SA2029I,UK_SA2029I,EUR_DE1028I,UK_DE1028I,EUR_EC1180V,UK_EC1180V,EUR_DE1076I,UK_DE1076I,EUR_DE2007I,UK_DE2007I,EUR_DE1073V,UK_DE1073V,EUR_CR1015V,UK_CR1015V,EUR_SA2018V,UK_SA2018V,EUR_SA2021V,UK_SA2021V,EUR_SA2019V,UK_SA2019V,EUR_CR1010V,UK_CR1010V,EUR_SA2020V,UK_SA2020V,EUR_SA2017V,UK_SA2017V,EUR_DE1049I,UK_DE1049I,EUR_DE2012V,UK_DE2012V,EUR_SA2007V,UK_SA2007V,EUR_EC1001V,UK_EC1001V,EUR_DE1040I,UK_DE1040I,EUR_SA2004I,UK_SA2004I,EUR_EC1003V,UK_EC1003V,EUR_EC1002V,UK_EC1002V,EUR_EC1179V,UK_EC1179V,EUR_DE1084I,UK_DE1084I,EUR_DE2009V,UK_DE2009V,EUR_DE2002V,UK_DE2002V,EUR_DE2010V,UK_DE2010V,EUR_DE1046I,UK_DE1046I,EUR_DE2008V,UK_DE2008V,EUR_SA2004V,UK_SA2004V,EUR_EC1012V,UK_EC1012V,EUR_DE2001V,UK_DE2001V,EUR_DE2003V,UK_DE2003V,EUR_DE2008I,UK_DE2008I,EUR_EC1010V,UK_EC1010V,EUR_SA1005V,UK_SA1005V,EUR_SA2013V,UK_SA2013V,EUR_SA1001V,UK_SA1001V,EUR_EC1011V,UK_EC1011V,EUR_EC1177V,UK_EC1177V,EUR_TE2031V,UK_TE2031V,EUR_EC2037V,UK_EC2037V,EUR_EN4008V,UK_EN4008V,EUR_DE2003I,UK_DE2003I,EUR_EC2020V,UK_EC2020V,EUR_DE1074V,UK_DE1074V,EUR_SA1004V,UK_SA1004V,EUR_EC1003I,UK_EC1003I,EUR_TE2031I,UK_TE2031I,EUR_EC1011I,UK_EC1011I,EUR_DE2009I,UK_DE2009I,EUR_EC2022V,UK_EC2022V,EUR_DE1060V,UK_DE1060V,EUR_DE1079V,UK_DE1079V,EUR_EC1020I,UK_EC1020I,EUR_EC2008I,UK_EC2008I,EUR_EC1012I,UK_EC1012I,EUR_EC2009V,UK_EC2009V,EUR_DE2011V,UK_DE2011V,EUR_DE1078V,UK_DE1078V,EUR_DE1047V,UK_DE1047V,EUR_EC2038V,UK_EC2038V,EUR_DE1040V,UK_DE1040V,EUR_DE1075V,UK_DE1075V,EUR_EC1001I,UK_EC1001I,EUR_EC2032V,UK_EC2032V,EUR_EC2034V,UK_EC2034V,EUR_DE1046V,UK_DE1046V,EUR_DE1061V,UK_DE1061V,EUR_DE1076V,UK_DE1076V,EUR_EC2021V,UK_EC2021V,EUR_EC1002I,UK_EC1002I,EUR_EC1176V,UK_EC1176V,EUR_EC2008V,UK_EC2008V,EUR_DE2002I,UK_DE2002I,EUR_EC2033V,UK_EC2033V,EUR_DE1049V,UK_DE1049V,EUR_DE1050V,UK_DE1050V,EUR_EC2036V,UK_EC2036V,EUR_EC1178V,UK_EC1178V,EUR_DE1042V,UK_DE1042V,EUR_EC1175V,UK_EC1175V,EUR_DE1056V,UK_DE1056V,EUR_DE1062V,UK_DE1062V,EUR_DE1077V,UK_DE1077V,EUR_DE1041V,UK_DE1041V,EUR_TE1026I,UK_TE1026I,EUR_EC2035V,UK_EC2035V,EUR_DE1058V,UK_DE1058V,EUR_DE1003V,UK_DE1003V,EUR_TE2028V,UK_TE2028V,EUR_DE1059V,UK_DE1059V,EUR_DE1048V,UK_DE1048V,EUR_DE1051V,UK_DE1051V,EUR_DE1029V,UK_DE1029V,EUR_DE1027V,UK_DE1027V,EUR_DE1026V,UK_DE1026V,EUR_DE1028V,UK_DE1028V,EUR_DE1030V,UK_DE1030V,EUR_DE1055V,UK_DE1055V,EUR_DE1066V,UK_DE1066V,EUR_DE1064V,UK_DE1064V,EUR_DE1025V,UK_DE1025V,EUR_DE1002V,UK_DE1002V,EUR_SA1013V,UK_SA1013V,EUR_SA1025V,UK_SA1025V,EUR_DE1057V,UK_DE1057V,EUR_DE1065V,UK_DE1065V,EUR_DE1001V,UK_DE1001V,EUR_SA3005V,UK_SA3005V,EUR_DE1063V,UK_DE1063V,EUR_DE3004I,UK_DE3004I,EUR_DE3017V,UK_DE3017V,EUR_EC2039V,UK_EC2039V,EUR_DE3001V,UK_DE3001V,EUR_TE1028V,UK_TE1028V,EUR_TE1027V,UK_TE1027V,EUR_TE2025V,UK_TE2025V,EUR_TE1026V,UK_TE1026V,EUR_SA1011V,UK_SA1011V,EUR_SA1050V,UK_SA1050V,EUR_SA1051V,UK_SA1051V,EUR_SA1012V,UK_SA1012V,EUR_SA2016V,UK_SA2016V
Aberdeen City/Clermont-Ferrand,Aberdeen City,Clermont-Ferrand,France,FR022C2,UK016C1,:,0.088,:,10.242,:,29.2,:,-0.5,:,153.5,:,7.1,:,19.5,:,53,:,82.6,:,"90,070",:,17.2,:,35,:,12.5,:,11.4,:,4.2,:,3.4,:,394.7,:,23.7,:,100.9,:,2,:,"120,400",:,9.51,:,8.4,:,"17,200",:,13.5,:,16.5,:,37.1,7,:,:,243,:,"1,063",:,"2,170",:,17,:,"1,107",:,378,:,8.4,:,"37,569",:,"2,337",:,"129,800",:,5.2,:,3.423,:,"58,400",:,"71,300",:,"53,200",:,5,:,"44,233",:,"28,263",:,"24,826",:,4.7,:,"181,895",:,8,:,"3,100",:,"188,559",:,"9,306",:,79.7,:,"9,300",:,:,:,:,:,"118,131",:,"6,200",:,"112,600",:,"70,300",:,"45,800",:,59.78,:,4.1,:,"175,392",:,"11,431",:,:,:,59.3,:,54.1,:,8.7,:,19.4,:,"6,000",:,"20,963",:,"4,734",:,7.2,:,0.2,:,5.3,:,"30,227",:,"19,407",:,"4,873",:,"5,175",:,"5,800",:,"11,887",:,"5,820",:,66.5,:,"41,900",:,"1,500",:,"10,690",:,"30,900",:,"5,612",:,"8,730",:,73.7,:,"55,400",:,350,:,12.4,:,"3,000",:,"19,138",:,"8,956",:,"38,800",:,"59,400",:,"5,781",:,"65,000",:,"6,399",:,"16,168",:,"9,607",:,"6,107",:,118,:,"1,750",:,"44,399",:,"114,628",:,"45,500",:,"23,436",:,"5,515",:,"10,183",:,"9,285",:,"13,022",:,"13,102",:,"19,190",:,"9,905",:,"16,223",:,"14,359",:,"28,593",:,"26,124",:,"113,552",:,"21,467",:,"5,085",:,"9,824",:,"14,234",:,"228,180",:,:,:,"14,732",:,:,:,"226,128",:,"11,595",:,:,:,"15,935",:,"10,960",:,"9,100",:,"26,900",:,"63,929",:,"243,439.51",:,"135,724.00",:,"26,805",:,621
Aberdeen City/Regensburg,Aberdeen City,Regensburg,Germany,DE028C1,UK016C1,0.133,0.088,:,10.242,24.8,29.2,1.5,-0.5,163.8,153.5,9.3,7.1,20.2,19.5,50.8,53,84.2,82.6,:,"90,070",24.1,17.2,:,35,13.6,12.5,11.2,11.4,3.7,4.2,2,3.4,:,394.7,26,23.7,106.4,100.9,2,2,"81,537","120,400",:,9.51,7.9,8.4,"12,165","17,200",13.1,13.5,15.8,16.5,:,37.1,3,:,:,243,:,"1,063",:,"2,170",:,17,:,"1,107",:,378,8.2,8.4,"23,897","37,569",:,"2,337","82,530","129,800",4.6,5.2,:,3.423,"38,913","58,400","43,617","71,300","37,691","53,200",3.9,5,:,"44,233","11,000","28,263",:,"24,826",4.3,4.7,:,"181,895",:,8,769,"3,100","126,997","188,559","12,900","9,306",:,79.7,"2,004","9,300","74,997",:,:,:,"91,823","118,131","1,236","6,200","79,681","112,600",:,"70,300","42,487","45,800",:,59.78,8.5,4.1,"144,875","175,392","5,856","11,431","16,826",:,56.5,59.3,:,54.1,2.8,8.7,:,19.4,"2,914","6,000","14,829","20,963","2,685","4,734",2.4,7.2,0.2,0.2,2,5.3,"34,956","30,227",:,"19,407","2,852","4,873","3,367","5,175","6,205","5,800","6,902","11,887","2,978","5,820",62.2,66.5,"28,050","41,900","2,730","1,500","6,537","10,690","19,785","30,900","2,878","5,612",:,"8,730",68.4,73.7,"38,402","55,400",340,350,7.3,12.4,"3,818","3,000","12,369","19,138","5,618","8,956","21,998","38,800","41,989","59,400","3,346","5,781","43,136","65,000","5,314","6,399","9,992","16,168","5,537","9,607","3,556","6,107",212,118,"1,376","1,750","30,449","44,399","77,773","114,628",:,"45,500","15,620","23,436","3,170","5,515","6,751","10,183","5,434","9,285","8,844","13,022","8,043","13,102","11,994","19,190","6,560","9,905","14,017","16,223","10,214","14,359","20,561","28,593","16,887","26,124","73,121","113,552",:,"21,467",:,"5,085","8,703","9,824","10,347","14,234","150,894","228,180",:,:,"9,793","14,732",:,:,:,"226,128",:,"11,595",:,:,:,"15,935",:,"10,960",:,"9,100","31,998","26,900",:,"63,929",:,"243,439.51",:,"135,724.00","5,624","26,805",:,621
Basildon/Meaux,Basildon,Meaux,France,FR305C1,UK538C1,:,:,:,13.274,:,43.7,:,0.6,:,142,:,7.8,:,13.5,:,73.6,:,93.9,:,"86,791",:,9.1,:,59.6,:,14.1,:,11.5,:,6.1,:,6.9,:,468.7,:,29.9,:,105.9,:,:,:,"81,400",:,8.959,:,9.4,:,"16,200",:,13.1,:,6.5,:,39.3,2,2,:,124,:,843,:,"1,659",:,:,:,816,:,162,:,5.4,:,"12,003",:,"2,458",:,"88,500",:,6.8,:,3.662,:,"41,600",:,"46,900",:,"37,500",:,6.7,:,"17,206",:,"6,076",:,"6,110",:,5.6,:,"168,653",:,9,:,:,:,"173,856",:,"5,927",:,91.1,:,"1,700",:,"14,430",:,84,:,"77,690",:,"1,700",:,"80,200",:,"23,600",:,"20,100",:,81.57,:,3.2,:,"87,148",:,"12,472",:,"54,570",:,53.6,:,24.4,:,3.6,:,9.3,:,"6,000",:,"12,984",:,"5,426",:,1.9,:,0.2,:,:,:,"7,917",:,"11,096",:,"5,821",:,"5,246",:,"3,600",:,"12,637",:,"6,399",:,59.5,:,"26,000",:,"3,500",:,"10,288",:,"24,314",:,"6,073",:,"7,565",:,65.8,:,"37,500",:,150,:,3.3,:,"3,500",:,"10,031",:,"5,058",:,"15,800",:,"42,700",:,"6,191",:,"43,900",:,"5,977",:,"11,693",:,"11,247",:,"6,446",:,:,:,"1,250",:,"24,931",:,"95,249",:,"57,600",:,"11,947",:,"5,042",:,"4,973",:,"8,202",:,"10,992",:,"10,336",:,"17,398",:,"9,197",:,"14,464",:,"13,265",:,"26,064",:,"21,328",:,"89,922",:,:,:,390,:,"8,487",:,"12,799",:,"185,171",:,2,:,"12,621",:,2.4,:,"185,859",:,"8,700",:,"76,684",:,:,:,:,:,"9,600",:,:,:,:,:,"412,239.50",:,"251,303.00",:,:,:,286
Bath and North East Somerset/Aix-en-Provence,Bath and North East Somerset,Aix-en-Provence,France,FR202C1,UK031C1,:,0.21,:,8.813,:,39,:,1.4,:,136.2,:,8.9,:,12.6,:,71.3,:,91.1,:,"85,317",:,:,:,42.1,:,13,:,11.2,:,5.2,:,4.4,:,448.1,:,32.4,:,102.3,:,4,:,"93,200",:,8.53,:,10,:,"17,300",:,10.5,:,7.1,:,38.2,11,6,:,63,:,828,:,"1,624",:,:,:,796,:,131,:,11.1,:,"13,423",:,"1,678",:,"102,500",:,5,:,1.788,:,"48,400",:,"54,100",:,"43,300",:,5.5,:,"21,820",:,"7,247",:,"8,406",:,7.1,:,"165,029",:,3,:,"1,300",:,"173,426",:,"6,176",:,86.7,:,"2,800",:,"19,190",:,34,:,"81,050",:,"1,500",:,"90,800",:,"54,700",:,"28,600",:,83.07,:,3.2,:,"90,341",:,"10,407",:,"54,200",:,59.2,:,60.8,:,2.8,:,11.5,:,"4,000",:,"11,447",:,"4,844",:,2.7,:,1.1,:,2.7,:,:,:,"13,414",:,"5,138",:,"6,823",:,"4,700",:,"9,456",:,"5,362",:,63.8,:,"24,200",:,"2,250",:,"13,462",:,"19,991",:,"5,045",:,"8,240",:,68.7,:,"44,300",:,"1,000",:,3.8,:,"4,500",:,"21,104",:,"10,871",:,"12,300",:,"47,400",:,"4,589",:,"48,800",:,"7,164",:,"9,778",:,"9,981",:,"4,867",:,134,:,"2,000",:,"24,017",:,"96,297",:,"37,900",:,"12,570",:,"6,640",:,"10,233",:,"9,042",:,"10,911",:,"10,381",:,"19,041",:,"9,999",:,"16,919",:,"12,624",:,"24,725",:,"21,292",:,"94,095",:,:,:,605,:,"9,755",:,"12,101",:,"190,392",:,0,:,"10,213",:,2.4,:,"186,501",:,"9,710",:,"76,827",:,"13,735",:,"11,800",:,"3,200",:,"25,545",:,:,:,"438,248.41",:,"282,284.00",:,:,:,194
Bath and North East Somerset/Braunschweig,Bath and North East Somerset,Braunschweig,Germany,DE506C1,UK031C1,0.202,0.21,:,8.813,26.4,39,-0.3,1.4,154.4,136.2,11.6,8.9,16.2,12.6,60.1,71.3,90.3,91.1,:,"85,317",14.4,:,:,42.1,14.4,13,12.5,11.2,3.8,5.2,3.2,4.4,:,448.1,33.7,32.4,102.1,102.3,5,4,"128,210","93,200",:,8.53,9.4,10,"22,254","17,300",12.3,10.5,9.7,7.1,:,38.2,7,6,:,63,:,828,:,"1,624",:,:,:,796,:,131,7,11.1,"24,014","13,423",:,"1,678","128,775","102,500",4.4,5,:,1.788,"58,845","48,400","69,930","54,100","56,734","43,300",3.9,5.5,"50,000","21,820","8,300","7,247","22,200","8,406",4.3,7.1,"198,000","165,029",:,3,"1,748","1,300","224,009","173,426","15,700","6,176",79.8,86.7,"4,446","2,800","105,652","19,190",:,34,"138,836","81,050","2,698","1,500","123,913","90,800",:,"54,700","43,192","28,600",:,83.07,6.3,3.2,"154,925","90,341","9,714","10,407","33,184","54,200",53.3,59.2,:,60.8,3.9,2.8,20.2,11.5,"5,010","4,000","18,529","11,447","4,638","4,844",3.5,2.7,0.2,1.1,3,2.7,"22,350",:,"27,800","13,414","4,906","5,138","5,581","6,823","6,431","4,700","10,875","9,456","4,987","5,362",59.1,63.8,"31,122","24,200","4,520","2,250","10,774","13,462","30,561","19,991","4,727","5,045",:,"8,240",65.1,68.7,"58,406","44,300",258,"1,000",3.3,3.8,"5,657","4,500","17,264","21,104","9,102","10,871","34,414","12,300","67,179","47,400","5,441","4,589","69,804","48,800","11,323","7,164","15,515","9,778","9,544","9,981","5,434","4,867",85,134,"1,970","2,000","40,285","24,017","125,302","96,297",:,"37,900","21,756","12,570","5,193","6,640","8,162","10,233","10,716","9,042","15,975","10,911","15,075","10,381","23,363","19,041","12,647","9,999","28,807","16,919","17,460","12,624","35,786","24,725","31,050","21,292","122,721","94,095",:,:,"2,900",605,"17,484","9,755","18,326","12,101","248,023","190,392",:,0,"15,046","10,213",:,2.4,:,"186,501",:,"9,710","147,325","76,827",:,"13,735",:,"11,800",:,"3,200","21,000","25,545",:,:,:,"438,248.41",:,"282,284.00","3,808",:,:,194
Bath and North East Somerset/Greater Alkmaar,Bath and North East Somerset,Greater Alkmaar,Netherlands,NL514C2,UK031C1,:,0.21,:,8.813,:,39,:,1.4,:,136.2,:,8.9,:,12.6,:,71.3,:,91.1,:,"85,317",:,:,:,42.1,:,13,:,11.2,:,5.2,:,4.4,:,448.1,:,32.4,:,102.3,:,4,:,"93,200",:,8.53,:,10,:,"17,300",:,10.5,:,7.1,:,38.2,:,6,:,63,:,828,:,"1,624",:,:,:,796,:,131,:,11.1,:,"13,423",:,"1,678",:,"102,500",:,5,:,1.788,:,"48,400",:,"54,100",:,"43,300",:,5.5,:,"21,820",:,"7,247",:,"8,406",:,7.1,:,"165,029",:,3,:,"1,300",:,"173,426",:,"6,176",:,86.7,:,"2,800",:,"19,190",:,34,:,"81,050",:,"1,500",:,"90,800",:,"54,700",:,"28,600",:,83.07,:,3.2,:,"90,341",:,"10,407",:,"54,200",:,59.2,:,60.8,:,2.8,:,11.5,:,"4,000",:,"11,447",:,"4,844",:,2.7,:,1.1,:,2.7,:,:,:,"13,414",:,"5,138",:,"6,823",:,"4,700",:,"9,456",:,"5,362",:,63.8,:,"24,200",:,"2,250",:,"13,462",:,"19,991",:,"5,045",:,"8,240",:,68.7,:,"44,300",:,"1,000",:,3.8,:,"4,500",:,"21,104",:,"10,871",:,"12,300",:,"47,400",:,"4,589",:,"48,800",:,"7,164",:,"9,778",:,"9,981",:,"4,867",:,134,:,"2,000",:,"24,017",:,"96,297",:,"37,900",:,"12,570",:,"6,640",:,"10,233",:,"9,042",:,"10,911",:,"10,381",:,"19,041",:,"9,999",:,"16,919",:,"12,624",:,"24,725",:,"21,292",:,"94,095",:,:,:,605,:,"9,755",:,"12,101",:,"190,392",:,0,:,"10,213",:,2.4,:,"186,501",:,"9,710",:,"76,827",:,"13,735",:,"11,800",:,"3,200",:,"25,545",:,:,:,"438,248.41",:,"282,284.00",:,:,:,194
Bath and North East Somerset/Kaposvár,Bath and North East Somerset,Kaposvár,Hungary,HU015C1,UK031C1,0.323,0.21,7.833,8.813,32.9,39,-0.8,1.4,215.8,136.2,9.2,8.9,9.8,12.6,70,71.3,:,91.1,"23,813","85,317",:,:,:,42.1,13.1,13,14.4,11.2,4.9,5.2,:,4.4,384.6,448.1,37.1,32.4,117.6,102.3,2,4,:,"93,200",13.372,8.53,12.6,10,:,"17,300",15.8,10.5,0.7,7.1,43,38.2,:,6,63,63,424,828,828,"1,624",11,:,404,796,96,131,5.7,11.1,412,"13,423",485,"1,678",:,"102,500",4.5,5,:,1.788,:,"48,400",:,"54,100",:,"43,300",4.5,5.5,"1,758","21,820",199,"7,247","1,130","8,406",5.5,7.1,"60,162","165,029",:,3,787,"1,300",:,"173,426",213,"6,176",97.2,86.7,"1,392","2,800",:,"19,190",50,34,"29,286","81,050",605,"1,500",:,"90,800",:,"54,700",:,"28,600",21.3,83.07,0.3,3.2,:,"90,341","2,757","10,407",:,"54,200",:,59.2,:,60.8,:,2.8,2.8,11.5,:,"4,000","2,936","11,447","1,466","4,844",:,2.7,:,1.1,:,2.7,:,:,628,"13,414","1,559","5,138","1,659","6,823",:,"4,700","2,788","9,456","1,407","5,362",:,63.8,:,"24,200",:,"2,250","3,399","13,462","9,763","19,991","1,350","5,045",:,"8,240",:,68.7,:,"44,300",:,"1,000",0.3,3.8,:,"4,500","3,547","21,104","1,748","10,871",:,"12,300",:,"47,400","1,365","4,589",:,"48,800","1,803","7,164","4,700","9,778","3,025","9,981","1,423","4,867",45,134,:,"2,000","6,085","24,017","33,470","96,297",:,"37,900","3,149","12,570","1,740","6,640","1,799","10,233","3,127","9,042","4,956","10,911","3,963","10,381","7,830","19,041","4,703","9,999","5,694","16,919","4,201","12,624","8,113","24,725","8,919","21,292","28,450","94,095",:,:,:,605,"3,891","9,755","3,912","12,101","61,920","190,392",:,0,"5,063","10,213",:,2.4,:,"186,501",:,"9,710",:,"76,827","2,148","13,735",653,"11,800",:,"3,200","2,801","25,545",:,:,"42,828.33","438,248.41","35,378.38","282,284.00","1,158",:,159,194
Bedford/Bamberg,Bedford,Bamberg,Germany,DE062C1,UK549C1,0.259,0.234,:,12.672,26,44.5,1.9,0.8,167.8,134.5,10.6,8.1,18.5,12.1,56,75.3,85.8,84.6,:,"85,905",22.4,:,:,46.2,13.7,14.4,12.2,11.8,3.7,6.2,3,4.5,:,503.1,30,30.8,107.7,102.6,2,4,"38,197","85,500",:,8.755,8.6,9.5,"7,003","14,400",11.7,13.6,14.2,15.1,:,40.2,:,4,:,81,:,721,:,"1,495",:,7,:,774,:,164,8.1,5.2,"10,961","25,775",:,"2,164","38,944","93,500",4.6,6.7,:,4.621,"18,607","45,100","20,337","48,400","17,741","40,400",3.9,6.8,:,"30,688",:,"21,241",:,"18,802",4.4,5.8,:,"139,569",:,10,545,"1,600","66,218","144,482",:,"4,534",:,81.7,"1,217","2,700","33,226","13,560",:,63,"43,244","74,300",672,"1,000","37,090","82,900",:,"40,000","21,957","23,300",:,82.83,:,2.7,"68,882","78,232","2,992","11,587","10,018","53,440",52.6,64.2,:,45.2,3.3,2.1,:,18,"2,070","3,500","6,973","10,691","1,412","5,101",3.1,2.9,0.3,1.2,2.9,3.5,"15,396",:,:,"11,886","1,444","5,463","1,774","5,210","3,657","3,100","3,582","11,391","1,520","5,916",57.5,68.1,"13,491","22,200","1,074","1,250","3,432","9,843","8,992","23,149","1,472","5,671",:,"6,915",62.8,72.2,"18,233","42,000",196,900,:,12.4,"2,003","2,000","6,225","8,944","2,868","4,713","8,470","11,800","19,349","42,500","1,745","5,506","19,964","43,500","3,054","5,868","4,554","11,209","2,856","10,564","1,837","5,885",166,:,568,"3,000","14,292","20,644","40,014","86,485",:,"40,900","7,319","9,953","1,658","4,633","3,357","4,231","3,046","7,892","4,889","10,135","4,497","9,937","6,651","16,232","3,605","8,340","8,179","13,761","5,340","12,347","10,592","24,585","9,386","20,072","37,165","84,283",:,:,:,613,"5,125","7,893","5,252","12,238","77,179","170,768",:,3,"4,438","11,940",:,2.4,:,"170,257",:,"8,050",:,"70,325",:,:,:,:,:,"7,300","12,847",:,:,:,:,"371,709.22",:,"191,220.00",:,:,:,245
Birmingham/Frankfurt am Main,Birmingham,Frankfurt am Main,Germany,DE005C1,UK002C1,0.201,0.123,:,13.971,28.2,48.7,1.4,0.6,151.2,139.8,7.8,6.2,18.1,15.7,52,70.8,71,85.5,:,"376,607",6.6,8,:,48.4,15.1,11.8,10.9,9.3,4.3,6.8,2.9,3.8,:,330.6,23.8,22.1,102.6,102,15,14,"379,228","498,200",:,7.494,7.8,6.8,"55,427","61,600",15.8,12.6,29,14.3,:,32.6,14,16,:,652,:,"4,237",:,"8,537",:,:,:,"4,300",:,"1,096",5.8,9.2,"216,593","162,792",:,"15,916","381,352","528,900",5.5,7.4,:,6.534,"176,856","234,100","204,496","294,900","170,654","203,000",4.7,7.3,"276,500","290,244","100,700","94,015","107,600","74,991",4.1,7,"470,400","845,706",:,104,"5,213","20,300","530,285","973,780","115,900","68,777",63,74.2,"14,469","40,700","346,563","114,110",:,480,"393,186","437,350","9,256","20,400","365,535","463,200",:,"209,500","112,909","163,100",:,490.6,15.5,6,"644,642","520,039","35,028","83,161","46,623","308,210",54.4,51.3,:,37.3,4.5,6.9,37,25.5,"19,011","20,000","69,472","88,684","15,430","37,519",3.8,7.7,0.1,0.1,2.9,8.7,"42,535","41,813","168,900","215,253","16,504","40,025","16,046","40,456","31,819","21,800","40,895","84,363","17,692","42,845",59.7,59.1,"165,572","128,700","74,349","23,000","30,883","79,788","118,204","143,544","17,336","40,317",:,"34,565",65.2,67.4,"175,650","219,900",343,400,13.5,8.3,"38,866","14,000","43,634","104,776","21,565","52,020","146,305","97,600","194,881","260,100","20,125","41,069","203,578","278,300","23,297","29,348","59,465","71,313","31,934","77,543","20,770","43,295",91,72,"12,933","10,000","135,364","178,814","378,157","575,305",:,"272,400","65,892","90,130","14,837","39,332","22,069","52,756","27,515","36,677","40,865","53,565","40,633","51,951","58,400","76,931","30,885","40,255","58,532","70,388","53,164","68,539","112,506","134,427","81,498","105,516","368,721","563,944",:,:,:,"4,283","35,235","41,040","59,342","65,888","746,878","1,139,249",:,18,"58,739","72,232",:,2.7,:,"1,136,572",:,"41,955","413,365","423,967",:,"47,885",:,"33,910",:,"70,600","67,809","81,810",:,:,:,"232,961.10",:,"153,121.00",:,:,:,"1,748"
Birmingham/Leipzig,Birmingham,Leipzig,Germany,DE008C1,UK002C1,0.258,0.123,:,13.971,28.6,48.7,1.9,0.6,157.1,139.8,11.6,6.2,18.8,15.7,61.8,70.8,91,85.5,:,"376,607",9.7,8,:,48.4,12.2,11.8,11,9.3,3.7,6.8,4.3,3.8,:,330.6,33.2,22.1,103.6,102,15,14,"289,082","498,200",:,7.494,8.9,6.8,"44,283","61,600",13.3,12.6,9,14.3,:,32.6,:,16,:,652,:,"4,237",:,"8,537",:,:,:,"4,300",:,"1,096",6.5,9.2,"52,176","162,792",:,"15,916","292,116","528,900",5.5,7.4,:,6.534,"138,108","234,100","154,008","294,900","131,576","203,000",4.5,7.3,:,"290,244",:,"94,015",:,"74,991",3.9,7,:,"845,706",:,104,"5,220","20,300","529,804","973,780",:,"68,777",:,74.2,"13,311","40,700","302,441","114,110",:,480,"339,094","437,350","8,091","20,400","276,744","463,200",:,"209,500","76,328","163,100",:,490.6,:,6,"302,624","520,039","26,427","83,161","36,653","308,210",53.7,51.3,:,37.3,5.3,6.9,:,25.5,"13,019","20,000","53,293","88,684","10,583","37,519",4.6,7.7,0.1,0.1,3.8,8.7,"29,297","41,813",:,"215,253","11,063","40,025","11,308","40,456","14,589","21,800","32,070","84,363","13,491","42,845",58.2,59.1,"65,252","128,700","8,518","23,000","22,793","79,788","77,502","143,544","12,936","40,317",:,"34,565",63,67.4,"136,494","219,900",293,400,:,8.3,"19,133","14,000","37,589","104,776","17,565","52,020","71,194","97,600","145,168","260,100","15,440","41,069","152,588","278,300","26,177","29,348","41,312","71,313","21,646","77,543","16,630","43,295",67,72,"5,002","10,000","109,541","178,814","296,203","575,305",:,"272,400","56,248","90,130","11,485","39,332","20,024","52,756","23,278","36,677","32,767","53,565","31,154","51,951","52,034","76,931","28,756","40,255","67,310","70,388","33,596","68,539","71,147","134,427","63,921","105,516","285,777","563,944",:,:,:,"4,283","41,133","41,040","37,551","65,888","581,980","1,139,249",:,18,"36,190","72,232",:,2.7,:,"1,136,572",:,"41,955",:,"423,967",:,"47,885",:,"33,910",:,"70,600","39,136","81,810",:,:,:,"232,961.10",:,"153,121.00",:,:,:,"1,748"
